"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"CO","popvoteperc","democrat",0.42393509011306,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CO","popvoteperc","republican",0.507502147736722,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CO","popvoteperc","diff",-0.0835670576236615,NA,NA,NA,NA,NA,NA,NA
2000,"CT","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CT","evote","democrat",8,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CT","popvote","republican",561094,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CT","popvote","democrat",816015,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CT","popvote","others",82416,NA,NA,NA,NA,NA,NA,NA
2000,"CT","evote","diff",8,NA,NA,NA,NA,NA,NA,NA
2000,"CT","popvote","diff",254921,NA,NA,NA,NA,NA,NA,NA
2000,"CT","popvoteperc","democrat",0.559096281324403,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CT","popvoteperc","republican",0.384436032270773,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CT","popvoteperc","diff",0.17466024905363,NA,NA,NA,NA,NA,NA,NA
2000,"DE","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"DE","evote","democrat",3,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"DE","popvote","republican",137288,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"DE","popvote","democrat",180068,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"DE","popvote","others",10266,NA,NA,NA,NA,NA,NA,NA
2000,"DE","evote","diff",3,NA,NA,NA,NA,NA,NA,NA
2000,"DE","popvote","diff",42780,NA,NA,NA,NA,NA,NA,NA
2000,"DE","popvoteperc","democrat",0.549621209808865,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"DE","popvoteperc","republican",0.419043898150918,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"DE","popvoteperc","diff",0.130577311657947,NA,NA,NA,NA,NA,NA,NA
2000,"DC","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"DC","evote","democrat",2,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"DC","popvote","republican",18073,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"DC","popvote","democrat",171923,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"DC","popvote","others",11898,NA,NA,NA,NA,NA,NA,NA
2000,"DC","evote","diff",2,NA,NA,NA,NA,NA,NA,NA
2000,"DC","popvote","diff",153850,NA,NA,NA,NA,NA,NA,NA
2000,"DC","popvoteperc","democrat",0.851550813793377,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"DC","popvoteperc","republican",0.0895172714394682,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"DC","popvoteperc","diff",0.762033542353909,NA,NA,NA,NA,NA,NA,NA
2000,"FL","evote","republican",25,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"FL","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"FL","popvote","republican",2912790,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"FL","popvote","democrat",2912253,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
